BackPresTurbineOP.steam_flow_in,BackPresTurbineOP.steam_pressure_in,BackPresTurbineOP.steam_temperature_in,BackPresTurbineOP.steam_pressure_out,BackPresTurbineOP.steam_temperature_out,BackPresTurbineOP.electricity_generation
39.75916667,3.44,436.8875,0.700833333,314.5408333,2.096666667
39.13666667,3.455833333,437.9283333,0.696666667,314.2033333,2.08
39.39916667,3.4525,439.1016667,0.7,314.1433333,2.099166667
41.165,3.428333333,440.135,0.7075,314.2941667,2.188333333
45.09083333,3.358333333,440.9291667,0.728333333,314.795,2.364166667
49.2325,3.275833333,441.2383333,0.751666667,315.7858333,2.548333333
50.29083333,3.2175,441.0758333,0.764166667,316.7966667,2.555
47.06166667,3.211666667,440.2416667,0.754166667,318.0241667,2.308333333
43.69666667,3.2525,439.2583333,0.74,319.41,2.140833333
43.01666667,3.285833333,438.7041667,0.738333333,319.9875,2.1275
42.16083333,3.310833333,438.3183333,0.73,319.9625,2.1025
41.19666667,3.368333333,438.1683333,0.73,319.5758333,2.095
42.24166667,3.3575,437.985,0.73,318.99,2.1425
42.92166667,3.363333333,437.7516667,0.74,318.495,2.1825
43.025,3.336666667,437.2275,0.74,318.1725,2.163333333
43.73833333,3.3125,436.5641667,0.745833333,318.0866667,2.171666667
44.38666667,3.306666667,435.8633333,0.754166667,318.1266667,2.188333333
44.23916667,3.320833333,435.3391667,0.759166667,318.2033333,2.1775
43.6275,3.338333333,435.25,0.76,318.185,2.1475
44.2375,3.300833333,435.2583333,0.765833333,318.3616667,2.146666667
44.89083333,3.289166667,435.455,0.771666667,318.7933333,2.165833333
45.67583333,3.263333333,435.7466667,0.781666667,319.3533333,2.175
46.46416667,3.256666667,436.1133333,0.791666667,320.1716667,2.204166667
47.05666667,3.25,436.2883333,0.805,321.0008333,2.205
42.33416667,3.316666667,436.425,0.794166667,321.6466667,1.985833333
39.31416667,3.3325,436.7116667,0.774166667,322.3075,1.855
37.265,3.34,437.07,0.75,322.5525,1.759166667
35.8775,3.38,437.2783333,0.724166667,322.3825,1.7175
38.05833333,3.371666667,437.4366667,0.71,321.6416667,1.921666667
40.72166667,3.334166667,437.42,0.708333333,319.7525,2.095
42.9475,3.310833333,437.1533333,0.7,317.96,2.225833333
44.145,3.2675,436.5558333,0.7,316.8408333,2.27
44.57583333,3.244166667,435.8716667,0.695,315.9883333,2.290833333
44.71583333,3.224166667,435.2,0.69,315.32,2.290833333
44.16583333,3.216666667,434.5975,0.685833333,314.725,2.26
43.91583333,3.214166667,434.0508333,0.68,314.2358333,2.260833333
45.5225,3.34,433.7058333,0.681666667,313.1925,2.4725
49.71083333,3.298333333,433.6825,0.701666667,311.5891667,2.730833333
53.1375,3.211666667,434.0025,0.725,310.2416667,2.925
54.99666667,3.19,434.1741667,0.7475,309.3966667,3.035
55.52,3.215,434.0208333,0.761666667,308.7475,3.060833333
54.12666667,3.253333333,434.0866667,0.77,309.015,2.928333333
53.05916667,3.269166667,434.9866667,0.77,310.045,2.835
52.49416667,3.309166667,436.4908333,0.77,311.3033333,2.815833333
51.51916667,3.34,438.0841667,0.76,312.5758333,2.764166667
51.1725,3.363333333,439.5391667,0.76,313.7708333,2.759166667
50.73416667,3.345833333,441.0508333,0.756666667,314.8641667,2.718333333
50.80666667,3.296666667,442.2508333,0.75,316.11,2.7075
50.83,3.3025,442.8283333,0.753333333,317.0616667,2.710833333
51.18916667,3.278333333,443.1616667,0.76,317.8833333,2.713333333
35.22,9.719166667,321.9883333,0.6925,214.3725,2.1175
51.5925,3.265,443.565,0.77,319.4925,2.7075
51.84416667,3.256666667,443.5741667,0.78,320.2733333,2.705
52.39333333,3.2375,443.2533333,0.7875,320.8516667,2.715833333
52.16333333,3.264166667,442.6866667,0.79,321.2433333,2.706666667
52.94833333,3.231666667,442.0541667,0.801666667,321.545,2.725833333
50.76833333,3.263333333,441.38,0.8,321.9033333,2.538333333
49.44083333,3.281666667,440.7733333,0.801666667,322.785,2.433333333
47.72833333,3.299166667,440.515,0.8,323.725,2.314166667
47.5075,3.326666667,440.565,0.801666667,324.5008333,2.305833333
47.12916667,3.354166667,441.1416667,0.81,325.0991667,2.296666667
46.93416667,3.3725,442.0108333,0.8025,325.5366667,2.305833333
