ExtCondensTurbineOP.steam_flow_in,ExtCondensTurbineOP.steam_flow_side,ExtCondensTurbineOP.electricity_generation,ExtCondensTurbineOP.,ExtCondensTurbineOP.,ExtCondensTurbineOP.
81.05833333,28.7175,11.5275,,,
80.81833333,28.71583333,11.53083333,,,
81.44333333,28.9275,11.5475,,,
80.875,28.59416667,11.48666667,,,
80.42583333,28.26916667,11.4325,,,
81.0025,28.63166667,11.42833333,,,
76.2875,23.8925,11.1625,,,
78.795,26.8075,11.24333333,,,
76.5525,24.01416667,11.13833333,,,
77.73333333,25.56916667,11.205,,,
77.3925,25.1175,11.1775,,,
76.78916667,24.5475,11.14333333,,,
77.86166667,25.40833333,11.21416667,,,
77.12666667,24.54583333,11.17416667,,,
77.77583333,24.83416667,11.2175,,,
77.0225,23.75583333,11.18,,,
76.09666667,22.65333333,11.15583333,,,
77.01416667,23.88333333,11.2,,,
76.77583333,23.50666667,11.19666667,,,
77.035,23.52416667,11.23166667,,,
76.5775,22.82416667,11.2,,,
76.48083333,22.94083333,11.20583333,,,
77.10916667,23.63166667,11.25916667,,,
77.10666667,23.25916667,11.27,,,
76.7375,22.535,11.285,,,
76.69833333,22.155,11.32,,,
76.925,22.05833333,11.355,,,
76.415,21.9,11.33916667,,,
76.2975,22.05916667,11.31666667,,,
76.4675,21.86,11.34916667,,,
76.26916667,21.21833333,11.40583333,,,
77.0025,21.8525,11.49583333,,,
77.46916667,21.79083333,11.60916667,,,
78.14833333,22.2875,11.6875,,,
78.1625,22.09583333,11.74416667,,,
78.70333333,22.30416667,11.8175,,,
79.47416667,22.98583333,11.91583333,,,
80.3875,23.92583333,12.035,,,
80.98583333,24.16583333,12.0925,,,
81.41416667,24.61916667,12.15666667,,,
83.09666667,26.58333333,12.2625,,,
100.3691667,42.1975,13.3,,,
93.38416667,36.46333333,12.82166667,,,
90.80416667,34.35,12.56333333,,,
92.155,35.82916667,12.67083333,,,
90.43545455,34.54363636,12.51181818,,,
89.935,33.7825,12.46583333,,,
86.73833333,31.42833333,12.13916667,,,
87.19416667,31.815,12.16416667,,,
86.12083333,31.34416667,12.08666667,,,
87.28833333,32.52833333,12.15666667,,,
86.39583333,31.60166667,12.06166667,,,
84.06916667,29.405,11.90333333,,,
82.93416667,28.2975,11.82416667,,,
82.735,28.0175,11.81333333,,,
84.8475,29.81416667,11.96333333,,,
85.42583333,30.22,12.01583333,,,
82.91416667,27.92583333,11.845,,,
85.55166667,29.995,12.03333333,,,
