ExtCondensTurbineOP.steam_flow_in,ExtCondensTurbineOP.steam_pressure_in,ExtCondensTurbineOP.steam_temperature_in,ExtCondensTurbineOP.steam_flow_side,ExtCondensTurbineOP.steam_pressure_side,ExtCondensTurbineOP.steam_temperature_side,ExtCondensTurbineOP.steam_pressure_out,ExtCondensTurbineOP.steam_temperature_out,ExtCondensTurbineOP.electricity_generation
84.49,3.328333333,434.0725,36.66,0.758333333,315.4891667,-87.285,47.31666667,11.24916667
84.05,3.313333333,434.3458333,36.9275,0.7525,316.6808333,-87.325,47.35666667,11.17583333
85.085,3.26,434.3966667,38.10916667,0.7525,319.6825,-87.3025,47.2575,11.19916667
84.50416667,3.230833333,434.1941667,38.26666667,0.750833333,320.965,-87.3725,47.2725,11.0925
82.56416667,3.210833333,433.6158333,36.885,0.744166667,321.6091667,-87.455,47.23916667,10.90916667
79.27333333,3.25,432.9575,35.745,0.7325,318.9425,-87.79,47.11416667,10.54
79.66833333,3.2425,432.0116667,37.20416667,0.740833333,314.1466667,-88.1475,47,10.35916667
79.53,3.26,432.1016667,37.31416667,0.74,313.0658333,-88.17583333,46.82916667,10.32416667
80.1675,3.278333333,432.48,37.47416667,0.744166667,311.4125,-88.20083333,46.54916667,10.3525
80.80166667,3.3025,433.1166667,37.7375,0.75,310.01,-88.15083333,46.425,10.40666667
81.14636364,3.316363636,433.59,38.06363636,0.75,308.9809091,-88.15727273,46.25727273,10.39363636
81.56666667,3.334166667,434.055,38.0075,0.76,308.1116667,-88.12166667,46.18416667,10.43666667
81.7575,3.3475,434.2183333,37.72333333,0.76,307.6791667,-88.075,46.20083333,10.4625
82.00333333,3.359166667,434.3008333,37.12333333,0.760833333,307.4525,-88.02333333,46.21166667,10.60083333
82.06083333,3.368333333,434.32,37.00833333,0.76,307.4225,-87.95833333,46.17166667,10.69833333
