eturb_m1_steam_flow_in,eturb_m1_steam_flow_side,eturb_m1_electricity_generation,eturb_m2_steam_flow_in,eturb_m2_steam_flow_side,eturb_m2_electricity_generation
0.298333333,0.228333333,0.02,1.795833333,0.415,-0.009166667
-1.554166667,-0.785833333,-0.128333333,-7.480833333,0.160833333,-0.019166667
1.3625,0.880833333,0.124166667,2.456666667,-0.340833333,0.075833333
-0.836666667,-0.584166667,-0.083333333,-2.379166667,0.675,-0.066666667
0.919166667,0.5775,0.093333333,4.930833333,-1.0825,0.0425
-0.925833333,-0.633333333,-0.070833333,-3.443333333,0.713333333,-0.029166667
1.286666667,1.046666667,0.068333333,3.99,0.23,-0.0125
0.12,0.101666667,-0.004166667,0.799166667,-0.153333333,-0.045833333
-0.55,-0.195,-0.0475,0.038333333,0.341666667,-0.021666667
0.74,0.41,0.065833333,-1.621666667,0.395,0.0325
-0.495,-0.589166667,-0.016666667,-2.288333333,-0.1575,0.05
-0.033333333,-0.016666667,0.008333333,-3.223333333,-0.025833333,0.031666667
-0.6025,-0.525,-0.003333333,0.446666667,-0.601666667,0.0975
-0.219166667,-0.255833333,-0.0025,0.266666667,0.058333333,0.038333333
0.205,-0.005833333,0.049166667,0.303560606,-0.136515152,0.079090909
0.263333333,0.043333333,0.05,0.073939394,0.201515152,0.056742424
1.360833333,0.945833333,0.1,-0.015,-0.8275,-0.001666667
-1.535,-0.6975,-0.120833333,0.246666667,1.225833333,0.005
1.525,1.073333333,0.105,-0.295833333,-0.138333333,-0.035
0.128333333,0.5975,-0.019166667,-0.066666667,0.2575,-0.075833333
-0.416666667,-0.455,-0.038333333,-0.071666667,0.5175,-0.0275
-0.775,-0.324166667,-0.053333333,-0.029166667,-0.355833333,-0.000833333
1.961666667,1.123333333,0.135,-0.308333333,-0.0675,-0.038333333
-1.940833333,-1.311666667,-0.136666667,0.2125,0.170833333,0.0225
0.818333333,0.476666667,0.073333333,-0.155,-0.454166667,0.004166667
0.306666667,0.045833333,0.0175,0.096666667,0.1025,0.026666667
-0.886666667,-0.759166667,-0.03,0.291666667,0.19,0.063333333
-0.428333333,-0.38,0.011666667,0.2175,-0.58,0.08
-0.404166667,-0.6725,-0.005,0.35,0.078333333,0.079166667
1.1425,0.558333333,0.123333333,0.185,-0.793333333,0.0875
-2.329166667,-1.595,-0.1475,0.365,0.726666667,0.049166667
2.078333333,1.095833333,0.164166667,-0.094166667,-0.725833333,0.0225
